Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.948 ± 0.012,0.928 ± 0.013,0.900 ± 0.013,0.855 ± 0.018,0.804 ± 0.020
set_prec,0.950 ± 0.010,0.929 ± 0.012,0.899 ± 0.015,0.845 ± 0.017,0.795 ± 0.022
set_min,0.950 ± 0.009,0.931 ± 0.012,0.900 ± 0.015,0.850 ± 0.018,0.799 ± 0.016
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.999 ± 0.002,0.994 ± 0.004
