Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,27.085 ± 0.246,25.669 ± 0.233,23.927 ± 0.223,21.688 ± 0.204,19.939 ± 0.195
set_prec,44.212 ± 0.573,41.029 ± 0.610,37.363 ± 0.590,32.261 ± 0.555,28.260 ± 0.533
ArbiTree-CQC,771.413 ± 0.355,769.755 ± 0.627,765.992 ± 1.241,757.487 ± 2.592,740.780 ± 4.482
