Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,3.373 ± 0.576,3.373 ± 0.576,3.373 ± 0.576,3.373 ± 0.576,3.373 ± 0.576
set_prec,3.920 ± 0.756,3.920 ± 0.756,3.920 ± 0.756,3.920 ± 0.756,3.920 ± 0.756
set_min,1.312 ± 0.055,1.312 ± 0.055,1.312 ± 0.055,1.312 ± 0.055,1.312 ± 0.055
ArbiTree-CQC,137.611 ± 11.873,137.611 ± 11.873,137.611 ± 11.873,137.611 ± 11.873,137.611 ± 11.873
