Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,3.398 ± 0.596,3.398 ± 0.596,3.398 ± 0.596,3.398 ± 0.596,3.398 ± 0.596
set_prec,3.935 ± 0.782,3.935 ± 0.782,3.935 ± 0.782,3.935 ± 0.782,3.935 ± 0.782
set_min,1.563 ± 0.354,1.563 ± 0.354,1.563 ± 0.354,1.563 ± 0.354,1.563 ± 0.354
ArbiTree-CQC,139.962 ± 14.964,139.962 ± 14.964,139.962 ± 14.964,139.962 ± 14.964,139.962 ± 14.964
