Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,19.429 ± 0.688,15.889 ± 0.568,12.829 ± 0.461,9.845 ± 0.348,7.911 ± 0.283
set_prec,31.059 ± 1.133,25.788 ± 0.972,20.739 ± 0.829,14.972 ± 0.626,11.503 ± 0.482
set_min,21.682 ± 0.879,18.602 ± 0.779,15.806 ± 0.711,11.895 ± 0.601,9.444 ± 0.487
ArbiTree-CQC,738.028 ± 9.134,722.846 ± 11.160,698.984 ± 13.043,659.134 ± 14.804,619.295 ± 16.803
