Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,18.948 ± 0.512,17.168 ± 0.423,15.316 ± 0.375,13.199 ± 0.320,11.788 ± 0.289
set_prec,33.899 ± 0.705,31.356 ± 0.668,28.085 ± 0.615,24.163 ± 0.540,20.931 ± 0.488
