Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.959 ± 0.008,0.937 ± 0.010,0.902 ± 0.013,0.851 ± 0.015,0.780 ± 0.016
set_prec,0.982 ± 0.006,0.973 ± 0.007,0.955 ± 0.008,0.925 ± 0.009,0.891 ± 0.012
