Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.415 ± 0.024,1.415 ± 0.024,1.415 ± 0.024,1.415 ± 0.024,1.415 ± 0.024
set_prec,1.574 ± 0.011,1.574 ± 0.011,1.574 ± 0.011,1.574 ± 0.011,1.574 ± 0.011
