Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.854 ± 1.836,7.854 ± 1.836,7.854 ± 1.836,7.854 ± 1.836,7.854 ± 1.836
set_prec,8.098 ± 1.825,8.098 ± 1.825,8.098 ± 1.825,8.098 ± 1.825,8.098 ± 1.825
set_min,1.777 ± 0.363,1.777 ± 0.363,1.777 ± 0.363,1.777 ± 0.363,1.777 ± 0.363
ArbiTree-CQC,314.685 ± 103.129,314.685 ± 103.129,314.685 ± 103.129,314.685 ± 103.129,314.685 ± 103.129
