Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,0.932 ± 0.013,0.901 ± 0.015,0.851 ± 0.017,0.803 ± 0.020
set_prec,0.951 ± 0.012,0.930 ± 0.013,0.901 ± 0.015,0.849 ± 0.018,0.797 ± 0.020
set_min,0.951 ± 0.010,0.934 ± 0.013,0.904 ± 0.016,0.854 ± 0.020,0.804 ± 0.023
ArbiTree-CQC,0.987 ± 0.008,0.982 ± 0.012,0.969 ± 0.021,0.939 ± 0.032,0.918 ± 0.038
