Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,40.888 ± 0.364,40.424 ± 0.357,39.810 ± 0.360,39.197 ± 0.348
set_prec,45.190 ± 0.249,44.100 ± 0.257,42.875 ± 0.264,41.015 ± 0.295,39.425 ± 0.318
set_min,41.114 ± 0.379,40.766 ± 0.377,40.285 ± 0.355,39.558 ± 0.355,38.933 ± 0.361
ArbiTree-CQC,772.481 ± 0.755,771.839 ± 1.202,770.128 ± 2.346,766.396 ± 3.734,763.790 ± 4.730
