Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,19.187 ± 0.445,17.634 ± 0.408,16.042 ± 0.379,14.407 ± 0.331,13.227 ± 0.308
set_prec,31.095 ± 0.850,28.771 ± 0.813,25.889 ± 0.757,22.085 ± 0.710,18.850 ± 0.638
ArbiTree-CQC,57.814 ± 0.270,57.760 ± 0.303,57.677 ± 0.330,57.537 ± 0.349,57.336 ± 0.358
