Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.949 ± 0.012,0.927 ± 0.013,0.899 ± 0.016,0.848 ± 0.017,0.797 ± 0.019
set_prec,0.947 ± 0.012,0.925 ± 0.013,0.897 ± 0.014,0.845 ± 0.017,0.794 ± 0.020
set_min,0.947 ± 0.012,0.926 ± 0.013,0.896 ± 0.015,0.846 ± 0.019,0.796 ± 0.018
ArbiTree-CQC,1.000 ± 0.001,0.999 ± 0.001,0.999 ± 0.001,0.999 ± 0.002,0.999 ± 0.002
