Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.572 ± 0.177,1.572 ± 0.177,1.572 ± 0.177,1.572 ± 0.177,1.572 ± 0.177
set_prec,1.520 ± 0.181,1.520 ± 0.181,1.520 ± 0.181,1.520 ± 0.181,1.520 ± 0.181
set_min,1.036 ± 0.131,1.036 ± 0.131,1.036 ± 0.131,1.036 ± 0.131,1.036 ± 0.131
ArbiTree-CQC,2.805 ± 0.273,2.805 ± 0.273,2.805 ± 0.273,2.805 ± 0.273,2.805 ± 0.273
