Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,18.951 ± 0.555,17.255 ± 0.506,15.558 ± 0.460,13.793 ± 0.390,12.364 ± 0.352
set_prec,27.865 ± 0.869,25.351 ± 0.832,22.367 ± 0.768,18.680 ± 0.706,16.048 ± 0.644
ArbiTree-CQC,759.565 ± 4.205,750.897 ± 6.144,733.803 ± 10.268,698.095 ± 13.750,658.260 ± 15.278
