Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.949 ± 0.009,0.929 ± 0.010,0.899 ± 0.012,0.849 ± 0.017,0.798 ± 0.020
set_prec,0.948 ± 0.012,0.927 ± 0.015,0.897 ± 0.017,0.845 ± 0.019,0.796 ± 0.023
set_min,0.951 ± 0.011,0.929 ± 0.014,0.896 ± 0.015,0.846 ± 0.020,0.794 ± 0.023
ArbiTree-CQC,0.992 ± 0.004,0.985 ± 0.006,0.971 ± 0.010,0.935 ± 0.015,0.894 ± 0.020
