Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,6.911 ± 1.187,6.911 ± 1.187,6.911 ± 1.187,6.911 ± 1.187,6.911 ± 1.187
set_prec,7.746 ± 1.444,7.746 ± 1.444,7.746 ± 1.444,7.746 ± 1.444,7.746 ± 1.444
set_min,1.281 ± 0.013,1.281 ± 0.013,1.281 ± 0.013,1.281 ± 0.013,1.281 ± 0.013
ArbiTree-CQC,265.237 ± 23.531,265.237 ± 23.531,265.237 ± 23.531,265.237 ± 23.531,265.237 ± 23.531
