Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.948 ± 0.009,0.930 ± 0.011,0.903 ± 0.012,0.843 ± 0.013,0.772 ± 0.014
set_prec,0.982 ± 0.005,0.966 ± 0.008,0.944 ± 0.009,0.909 ± 0.011,0.860 ± 0.013
