Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,13.742 ± 0.460,11.264 ± 0.350,8.959 ± 0.258,6.845 ± 0.185,5.505 ± 0.154
set_prec,27.290 ± 0.696,23.885 ± 0.684,20.041 ± 0.551,15.512 ± 0.474,12.441 ± 0.389
