Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.949 ± 0.010,0.929 ± 0.012,0.901 ± 0.015,0.852 ± 0.018,0.804 ± 0.019
set_prec,0.950 ± 0.012,0.930 ± 0.015,0.900 ± 0.017,0.851 ± 0.019,0.800 ± 0.020
ArbiTree-CQC,0.967 ± 0.010,0.951 ± 0.010,0.922 ± 0.012,0.874 ± 0.014,0.826 ± 0.019
