Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.791 ± 0.260,7.143 ± 0.230,5.919 ± 0.195,4.879 ± 0.158,4.376 ± 0.146
set_prec,11.209 ± 0.332,9.841 ± 0.302,8.546 ± 0.273,7.016 ± 0.260,5.903 ± 0.227
set_min,8.725 ± 0.253,7.866 ± 0.229,6.918 ± 0.214,5.899 ± 0.210,5.083 ± 0.186
ArbiTree-CQC,377.806 ± 3.988,367.290 ± 5.227,351.166 ± 5.845,327.344 ± 7.308,302.965 ± 8.666
