Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,4.236 ± 1.334,4.236 ± 1.334,4.236 ± 1.334,4.236 ± 1.334,4.236 ± 1.334
set_prec,4.666 ± 1.471,4.666 ± 1.471,4.666 ± 1.471,4.666 ± 1.471,4.666 ± 1.471
set_min,1.340 ± 0.230,1.340 ± 0.230,1.340 ± 0.230,1.340 ± 0.230,1.340 ± 0.230
ArbiTree-CQC,87.467 ± 27.285,87.467 ± 27.285,87.467 ± 27.285,87.467 ± 27.285,87.467 ± 27.285
