Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,27.088 ± 0.930,24.103 ± 0.817,21.668 ± 0.728,18.706 ± 0.633,16.661 ± 0.562
set_prec,42.047 ± 1.444,37.249 ± 1.327,32.006 ± 1.134,26.426 ± 0.963,22.182 ± 0.841
set_min,31.172 ± 1.120,28.642 ± 1.044,25.722 ± 0.972,22.239 ± 0.876,19.455 ± 0.799
ArbiTree-CQC,760.536 ± 4.572,750.344 ± 7.508,733.977 ± 9.625,706.730 ± 12.725,674.250 ± 14.353
