Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,3.349 ± 0.869,3.349 ± 0.869,3.349 ± 0.869,3.349 ± 0.869,3.349 ± 0.869
set_prec,3.780 ± 0.938,3.780 ± 0.938,3.780 ± 0.938,3.780 ± 0.938,3.780 ± 0.938
set_min,1.289 ± 0.054,1.289 ± 0.054,1.289 ± 0.054,1.289 ± 0.054,1.289 ± 0.054
ArbiTree-CQC,138.018 ± 14.375,138.018 ± 14.375,138.018 ± 14.375,138.018 ± 14.375,138.018 ± 14.375
