Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.010,0.930 ± 0.012,0.899 ± 0.012,0.848 ± 0.017,0.799 ± 0.018
set_prec,0.952 ± 0.011,0.932 ± 0.012,0.903 ± 0.014,0.852 ± 0.019,0.802 ± 0.021
set_min,0.953 ± 0.010,0.932 ± 0.012,0.904 ± 0.015,0.854 ± 0.016,0.800 ± 0.019
ArbiTree-CQC,0.990 ± 0.005,0.982 ± 0.007,0.963 ± 0.011,0.934 ± 0.015,0.898 ± 0.018
