Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000
set_prec,0.947 ± 0.011,0.926 ± 0.013,0.894 ± 0.013,0.847 ± 0.016,0.797 ± 0.020
ArbiTree-CQC,1.000 ± 0.000,0.995 ± 0.007,0.966 ± 0.025,0.948 ± 0.025,0.918 ± 0.027
