Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,2.708 ± 0.528,2.708 ± 0.528,2.708 ± 0.528,2.708 ± 0.528,2.708 ± 0.528
set_prec,2.890 ± 0.600,2.890 ± 0.600,2.890 ± 0.600,2.890 ± 0.600,2.890 ± 0.600
set_min,1.022 ± 0.136,1.022 ± 0.136,1.022 ± 0.136,1.022 ± 0.136,1.022 ± 0.136
ArbiTree-CQC,5.394 ± 1.039,5.394 ± 1.039,5.394 ± 1.039,5.394 ± 1.039,5.394 ± 1.039
