Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,58.000 ± 0.000,58.000 ± 0.000,58.000 ± 0.000,58.000 ± 0.000,58.000 ± 0.000
set_prec,19.519 ± 0.552,18.634 ± 0.542,17.676 ± 0.515,16.350 ± 0.480,15.178 ± 0.451
set_min,15.336 ± 0.468,15.115 ± 0.470,14.756 ± 0.468,14.067 ± 0.455,13.298 ± 0.433
ArbiTree-CQC,57.998 ± 0.003,57.889 ± 0.102,57.401 ± 0.369,56.646 ± 0.651,54.999 ± 1.087
