Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,6.554 ± 1.765,6.554 ± 1.765,6.554 ± 1.765,6.554 ± 1.765,6.554 ± 1.765
set_prec,7.245 ± 2.005,7.245 ± 2.005,7.245 ± 2.005,7.245 ± 2.005,7.245 ± 2.005
set_min,1.489 ± 0.330,1.489 ± 0.330,1.489 ± 0.330,1.489 ± 0.330,1.489 ± 0.330
ArbiTree-CQC,290.988 ± 74.592,290.988 ± 74.592,290.988 ± 74.592,290.988 ± 74.592,290.988 ± 74.592
