Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,30.038 ± 0.909,28.166 ± 0.860,26.340 ± 0.783,24.397 ± 0.728,22.836 ± 0.673
set_prec,37.554 ± 0.962,34.716 ± 0.942,31.705 ± 0.902,28.275 ± 0.852,25.393 ± 0.807
set_min,28.982 ± 0.697,27.575 ± 0.670,26.091 ± 0.654,23.841 ± 0.661,21.774 ± 0.633
ArbiTree-CQC,769.957 ± 1.763,767.219 ± 2.301,761.811 ± 3.511,746.261 ± 6.768,719.873 ± 10.726
