Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.947 ± 0.011,0.926 ± 0.014,0.894 ± 0.018,0.845 ± 0.022,0.794 ± 0.025
set_prec,0.950 ± 0.011,0.930 ± 0.013,0.898 ± 0.018,0.846 ± 0.020,0.793 ± 0.023
ArbiTree-CQC,0.998 ± 0.002,0.995 ± 0.003,0.992 ± 0.004,0.977 ± 0.007,0.951 ± 0.014
