Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.862 ± 0.012,0.840 ± 0.014,0.813 ± 0.014,0.763 ± 0.015,0.720 ± 0.018
set_prec,0.971 ± 0.007,0.945 ± 0.008,0.920 ± 0.009,0.877 ± 0.012,0.832 ± 0.014
