Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,14.495 ± 0.287,14.179 ± 0.279,13.805 ± 0.273,13.308 ± 0.255,12.865 ± 0.242
set_prec,23.608 ± 0.251,22.286 ± 0.248,20.449 ± 0.206,18.181 ± 0.207,16.380 ± 0.217
