Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,8.698 ± 1.907,8.698 ± 1.907,8.698 ± 1.907,8.698 ± 1.907,8.698 ± 1.907
set_prec,8.967 ± 1.978,8.967 ± 1.978,8.967 ± 1.978,8.967 ± 1.978,8.967 ± 1.978
set_min,1.670 ± 0.387,1.670 ± 0.387,1.670 ± 0.387,1.670 ± 0.387,1.670 ± 0.387
ArbiTree-CQC,357.436 ± 107.630,357.436 ± 107.630,357.436 ± 107.630,357.436 ± 107.630,357.436 ± 107.630
