Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,40.766 ± 0.379,40.300 ± 0.381,39.592 ± 0.377,38.893 ± 0.372
set_prec,44.431 ± 0.277,43.517 ± 0.268,42.516 ± 0.263,40.973 ± 0.266,39.475 ± 0.272
set_min,40.870 ± 0.410,40.481 ± 0.420,39.952 ± 0.425,39.122 ± 0.433,38.362 ± 0.436
ArbiTree-CQC,772.360 ± 0.689,771.424 ± 1.249,769.432 ± 2.257,766.342 ± 3.269,764.312 ± 4.617
