Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,0.931 ± 0.015,0.902 ± 0.016,0.852 ± 0.022,0.801 ± 0.021
set_prec,0.951 ± 0.013,0.931 ± 0.014,0.904 ± 0.018,0.854 ± 0.019,0.805 ± 0.022
ArbiTree-CQC,0.987 ± 0.007,0.980 ± 0.012,0.964 ± 0.019,0.941 ± 0.026,0.923 ± 0.036
