Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,14.374 ± 0.779,10.489 ± 0.208,7.725 ± 0.149,6.931 ± 0.119
set_prec,11.775 ± 0.179,10.589 ± 0.185,9.262 ± 0.175,7.461 ± 0.145,6.282 ± 0.130
