Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.531 ± 0.025,1.531 ± 0.025,1.531 ± 0.025,1.531 ± 0.025,1.531 ± 0.025
set_prec,1.592 ± 0.078,1.592 ± 0.078,1.592 ± 0.078,1.592 ± 0.078,1.592 ± 0.078
