Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,0.998 ± 0.002,0.991 ± 0.004,0.987 ± 0.005
set_prec,0.979 ± 0.006,0.970 ± 0.007,0.953 ± 0.008,0.919 ± 0.011,0.870 ± 0.014
