Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,2.279 ± 0.448,2.279 ± 0.448,2.279 ± 0.448,2.279 ± 0.448,2.279 ± 0.448
set_prec,2.471 ± 0.495,2.471 ± 0.495,2.471 ± 0.495,2.471 ± 0.495,2.471 ± 0.495
set_min,1.043 ± 0.008,1.043 ± 0.008,1.043 ± 0.008,1.043 ± 0.008,1.043 ± 0.008
ArbiTree-CQC,44.991 ± 9.426,44.991 ± 9.426,44.991 ± 9.426,44.991 ± 9.426,44.991 ± 9.426
