Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,22.323 ± 0.699,19.747 ± 0.626,17.348 ± 0.534,15.010 ± 0.459,13.465 ± 0.410
set_prec,31.693 ± 0.862,28.377 ± 0.803,24.532 ± 0.719,20.089 ± 0.615,17.066 ± 0.547
ArbiTree-CQC,394.588 ± 2.736,389.946 ± 3.744,381.485 ± 4.454,364.794 ± 6.499,345.939 ± 7.810
