Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.012,0.930 ± 0.015,0.901 ± 0.016,0.851 ± 0.018,0.798 ± 0.020
set_prec,0.950 ± 0.010,0.931 ± 0.012,0.899 ± 0.015,0.850 ± 0.016,0.800 ± 0.019
set_min,0.951 ± 0.009,0.931 ± 0.013,0.900 ± 0.016,0.851 ± 0.018,0.801 ± 0.020
ArbiTree-CQC,0.987 ± 0.006,0.979 ± 0.008,0.963 ± 0.011,0.931 ± 0.015,0.888 ± 0.020
