Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,31.217 ± 0.317,30.193 ± 0.301,29.053 ± 0.288,27.589 ± 0.285,26.232 ± 0.265
set_prec,40.760 ± 0.304,39.409 ± 0.323,37.438 ± 0.372,34.667 ± 0.423,31.638 ± 0.483
set_min,32.875 ± 0.289,31.735 ± 0.299,30.216 ± 0.288,28.475 ± 0.275,26.940 ± 0.252
ArbiTree-CQC,772.660 ± 0.212,772.130 ± 0.481,770.490 ± 1.087,766.510 ± 1.755,761.865 ± 2.421
