Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.043 ± 1.735,7.043 ± 1.735,7.043 ± 1.735,7.043 ± 1.735,7.043 ± 1.735
set_prec,7.720 ± 1.850,7.720 ± 1.850,7.720 ± 1.850,7.720 ± 1.850,7.720 ± 1.850
set_min,1.755 ± 0.365,1.755 ± 0.365,1.755 ± 0.365,1.755 ± 0.365,1.755 ± 0.365
ArbiTree-CQC,320.834 ± 56.318,320.834 ± 56.318,320.834 ± 56.318,320.834 ± 56.318,320.834 ± 56.318
