Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.954 ± 0.011,0.932 ± 0.013,0.903 ± 0.016,0.852 ± 0.017,0.804 ± 0.017
set_prec,0.950 ± 0.010,0.932 ± 0.012,0.900 ± 0.014,0.851 ± 0.019,0.800 ± 0.023
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.001,1.000 ± 0.001,0.999 ± 0.002,0.997 ± 0.002
