Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.501 ± 0.200,1.501 ± 0.200,1.501 ± 0.200,1.501 ± 0.200,1.501 ± 0.200
set_prec,1.568 ± 0.189,1.568 ± 0.189,1.568 ± 0.189,1.568 ± 0.189,1.568 ± 0.189
set_min,1.027 ± 0.134,1.027 ± 0.134,1.027 ± 0.134,1.027 ± 0.134,1.027 ± 0.134
ArbiTree-CQC,2.845 ± 0.349,2.845 ± 0.349,2.845 ± 0.349,2.845 ± 0.349,2.845 ± 0.349
