Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.850 ± 0.020,0.800 ± 0.023
set_prec,0.950 ± 0.011,0.931 ± 0.013,0.900 ± 0.015,0.847 ± 0.017,0.797 ± 0.021
set_min,0.949 ± 0.011,0.928 ± 0.014,0.898 ± 0.016,0.848 ± 0.018,0.799 ± 0.023
ArbiTree-CQC,1.000 ± 0.000,1.000 ± 0.000,0.971 ± 0.022,0.964 ± 0.022,0.960 ± 0.020
