Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,58.000 ± 0.000,58.000 ± 0.000,58.000 ± 0.000,22.195 ± 0.645,21.752 ± 0.629
set_prec,29.720 ± 0.884,28.197 ± 0.848,26.583 ± 0.815,24.637 ± 0.760,23.267 ± 0.734
ArbiTree-CQC,58.000 ± 0.000,58.000 ± 0.000,57.520 ± 0.330,57.350 ± 0.346,57.249 ± 0.336
