Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,1.000 ± 0.000,0.747 ± 0.019
set_prec,0.931 ± 0.009,0.902 ± 0.011,0.870 ± 0.013,0.815 ± 0.014,0.770 ± 0.017
