Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.871 ± 0.028,1.871 ± 0.028,1.871 ± 0.028,1.871 ± 0.028,1.871 ± 0.028
set_prec,1.569 ± 0.031,1.569 ± 0.031,1.569 ± 0.031,1.569 ± 0.031,1.569 ± 0.031
