Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,774.000 ± 0.000,18.448 ± 0.380
set_prec,24.315 ± 0.336,23.089 ± 0.295,21.615 ± 0.264,19.455 ± 0.241,17.738 ± 0.225
