Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,7.056 ± 1.574,7.056 ± 1.574,7.056 ± 1.574,7.056 ± 1.574,7.056 ± 1.574
set_prec,8.040 ± 1.719,8.040 ± 1.719,8.040 ± 1.719,8.040 ± 1.719,8.040 ± 1.719
set_min,1.781 ± 0.402,1.781 ± 0.402,1.781 ± 0.402,1.781 ± 0.402,1.781 ± 0.402
ArbiTree-CQC,313.768 ± 35.485,313.768 ± 35.485,313.768 ± 35.485,313.768 ± 35.485,313.768 ± 35.485
