Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,19.129 ± 0.209,17.848 ± 0.191,16.695 ± 0.183,15.143 ± 0.172,13.984 ± 0.154
set_prec,34.744 ± 0.403,33.024 ± 0.428,30.378 ± 0.465,26.110 ± 0.479,22.823 ± 0.485
ArbiTree-CQC,767.939 ± 2.099,763.623 ± 2.902,753.707 ± 4.458,730.689 ± 7.169,701.346 ± 9.209
