Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.955 ± 0.010,0.936 ± 0.012,0.904 ± 0.016,0.855 ± 0.020,0.805 ± 0.020
set_prec,0.952 ± 0.012,0.932 ± 0.015,0.901 ± 0.017,0.853 ± 0.017,0.802 ± 0.018
ArbiTree-CQC,0.999 ± 0.002,0.998 ± 0.002,0.996 ± 0.003,0.987 ± 0.005,0.975 ± 0.008
