Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.951 ± 0.012,0.929 ± 0.014,0.901 ± 0.016,0.854 ± 0.019,0.803 ± 0.022
set_prec,0.948 ± 0.010,0.927 ± 0.012,0.898 ± 0.016,0.851 ± 0.020,0.803 ± 0.020
ArbiTree-CQC,0.999 ± 0.002,0.998 ± 0.002,0.997 ± 0.003,0.995 ± 0.006,0.994 ± 0.007
