Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,3.245 ± 0.923,3.245 ± 0.923,3.245 ± 0.923,3.245 ± 0.923,3.245 ± 0.923
set_prec,3.686 ± 1.108,3.686 ± 1.108,3.686 ± 1.108,3.686 ± 1.108,3.686 ± 1.108
ArbiTree-CQC,158.931 ± 50.273,158.931 ± 50.273,158.931 ± 50.273,158.931 ± 50.273,158.931 ± 50.273
