Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,53.399 ± 0.380,52.515 ± 0.382,51.463 ± 0.379,50.061 ± 0.371,48.737 ± 0.368
set_prec,61.382 ± 0.302,59.958 ± 0.345,57.950 ± 0.368,55.034 ± 0.438,52.433 ± 0.466
ArbiTree-CQC,771.446 ± 1.404,769.950 ± 2.086,768.101 ± 2.773,766.488 ± 4.039,766.216 ± 4.260
