Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.950 ± 0.011,0.930 ± 0.014,0.901 ± 0.016,0.852 ± 0.019,0.801 ± 0.022
set_prec,0.947 ± 0.010,0.928 ± 0.012,0.896 ± 0.013,0.845 ± 0.017,0.795 ± 0.019
ArbiTree-CQC,0.999 ± 0.002,0.996 ± 0.005,0.985 ± 0.011,0.954 ± 0.019,0.909 ± 0.023
