Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,10.655 ± 0.359,9.706 ± 0.309,8.922 ± 0.290,8.031 ± 0.257,7.473 ± 0.236
set_prec,16.412 ± 0.493,15.177 ± 0.458,13.694 ± 0.430,11.895 ± 0.380,10.563 ± 0.349
ArbiTree-CQC,57.402 ± 0.515,56.917 ± 0.680,55.754 ± 0.991,52.984 ± 1.382,49.725 ± 1.494
