Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,2.805 ± 0.571,2.805 ± 0.571,2.805 ± 0.571,2.805 ± 0.571,2.805 ± 0.571
set_prec,2.795 ± 0.593,2.795 ± 0.593,2.795 ± 0.593,2.795 ± 0.593,2.795 ± 0.593
set_min,0.822 ± 0.092,0.822 ± 0.092,0.822 ± 0.092,0.822 ± 0.092,0.822 ± 0.092
ArbiTree-CQC,5.151 ± 0.971,5.151 ± 0.971,5.151 ± 0.971,5.151 ± 0.971,5.151 ± 0.971
