Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,0.951 ± 0.011,0.931 ± 0.013,0.902 ± 0.015,0.852 ± 0.018,0.805 ± 0.022
set_prec,0.950 ± 0.010,0.931 ± 0.011,0.900 ± 0.016,0.848 ± 0.019,0.798 ± 0.019
ArbiTree-CQC,0.997 ± 0.004,0.997 ± 0.004,0.996 ± 0.005,0.996 ± 0.004,0.992 ± 0.008
