Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,21.607 ± 0.649,20.471 ± 0.608,19.425 ± 0.569,18.169 ± 0.532,17.258 ± 0.502
set_prec,28.558 ± 0.874,26.698 ± 0.824,24.867 ± 0.778,22.399 ± 0.718,20.561 ± 0.686
set_min,22.485 ± 0.678,22.009 ± 0.670,21.273 ± 0.657,20.162 ± 0.639,18.954 ± 0.612
ArbiTree-CQC,57.742 ± 0.324,57.640 ± 0.371,57.528 ± 0.398,57.361 ± 0.366,56.888 ± 0.549
