Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,1.509 ± 0.149,1.509 ± 0.149,1.509 ± 0.149,1.509 ± 0.149,1.509 ± 0.149
set_prec,1.647 ± 0.156,1.647 ± 0.156,1.647 ± 0.156,1.647 ± 0.156,1.647 ± 0.156
set_min,0.828 ± 0.023,0.828 ± 0.023,0.828 ± 0.023,0.828 ± 0.023,0.828 ± 0.023
ArbiTree-CQC,2.744 ± 0.341,2.744 ± 0.341,2.744 ± 0.341,2.744 ± 0.341,2.744 ± 0.341
