Method,α=0.05,α=0.07,α=0.10,α=0.15,α=0.20
set_recall,30.392 ± 0.335,29.292 ± 0.325,27.996 ± 0.308,26.324 ± 0.301,24.955 ± 0.287
set_prec,37.649 ± 0.271,36.288 ± 0.277,34.451 ± 0.287,31.835 ± 0.311,29.602 ± 0.321
ArbiTree-CQC,771.877 ± 0.374,770.870 ± 0.536,768.980 ± 0.863,765.496 ± 1.630,758.546 ± 3.399
